lng,lat
-73.9286,40.6806
-73.9527,40.7232
-73.9716,40.6761
-73.9895,40.6696
-73.9647,40.6829
-73.8911,40.7465
-73.8967,40.7462
-73.9534,40.8036
-73.9941,40.7028
-73.9141,40.7566
-73.9112,40.7618
-73.9582,40.7153
-73.9467,40.8008
-73.9143,40.7634
-73.9434,40.8243
-73.967,40.6322
-73.9378,40.8144
-73.9904,40.6905
-73.8838,40.7476
-73.9804,40.6844
-73.9488,40.6935
-73.962,40.7135
-73.9411,40.7883
-73.933,40.7526
-73.9804,40.678
-73.9703,40.6727
-73.9463,40.8211
-73.983,40.6776
-73.9431,40.6924
-73.9422,40.7541
-73.8307,40.7595
-73.9086,40.8756
-73.992,40.6906
-73.9408,40.7164
-73.9138,40.8487
-73.9641,40.8079
-73.939,40.8053
-73.963,40.8041
-73.953,40.6558
-73.9517,40.7138
-73.9254,40.7621
-73.9453,40.808
-73.9877,40.6904
-73.9236,40.6872
-73.8698,40.7492
-73.8915,40.7466
-73.9545,40.8056
-73.9538,40.8168
-73.9576,40.7298
-73.8992,40.7462
-73.8694,40.7341
-73.9576,40.7222
-73.9771,40.684
-73.9273,40.7039
-73.9515,40.69
-73.9413,40.7553
-73.9484,40.8139
-73.8766,40.7486
-73.856,40.7436
-73.949,40.7141
-74.0234,40.6348
-73.9446,40.7146
-73.8443,40.7213
-73.9459,40.8214
-73.8389,40.8813
-73.9222,40.7401
-73.9814,40.667
-73.9223,40.7553
-74.0118,40.6794
-73.9081,40.7712
-73.8077,40.7005
-73.8442,40.7213
-73.9299,40.7565
-73.9937,40.6817
-73.9579,40.7219
-73.9641,40.6937
-73.9566,40.7169
-73.8729,40.841
-73.9189,40.7657
-73.9629,40.6738
-73.9149,40.764
-73.9549,40.6885
-73.9248,40.7413
-73.9854,40.6712
-73.9795,40.6608
-73.9192,40.7588
-73.9094,40.7753
-73.9515,40.7431
-73.9893,40.7015
-73.936,40.6864
-73.8733,40.7346
-73.9532,40.8035
-73.9152,40.764
-73.9412,40.8137
-73.8964,40.7462
-73.9087,40.7649
-73.9665,40.7113
-73.9449,40.8139
-73.9772,40.6835
-73.9216,40.7667
-73.9235,40.867
-73.8885,40.747
-73.9108,40.7728
-73.8749,40.8293
-73.9632,40.6847
-73.9517,40.715
-73.9801,40.6769
-73.9558,40.7177
-73.8799,40.7562
-73.9327,40.7032
-73.9933,40.6827
-73.9121,40.7674
-73.9819,40.677
-73.9243,40.7436
-73.9185,40.7655
-73.9504,40.7075
-73.9528,40.7984
-73.9444,40.8238
-73.9784,40.684
-73.9488,40.8289
-73.9241,40.744
-73.9007,40.8201
-73.9787,40.6703
-73.955,40.6947
-73.8708,40.7514
-73.8933,40.7548
-73.8306,40.7595
-73.8048,40.6961
-73.9183,40.7411
-73.9827,40.6653
-73.8658,40.7367
-73.994,40.6815
-73.8665,40.8318
-73.8965,40.7462
-73.9766,40.6828
-73.976,40.687
-73.892,40.747
-73.9765,40.6828
-73.954,40.7072
-73.9853,40.6871
-73.9435,40.8144
-73.978,40.6727
-73.9582,40.7218
-73.9052,40.7453
-73.8523,40.6871
-73.9708,40.6735
-73.9941,40.7028
-73.891,40.7469
-73.8909,40.8321
-73.953,40.7177
-73.9204,40.8146
-73.9455,40.6928
-73.9035,40.7454
-73.9765,40.683
-73.9848,40.6891
-73.8686,40.7494
-73.9254,40.7617
-73.9613,40.6609
-73.9822,40.6662
-73.9118,40.677
-73.8698,40.7491
-73.9376,40.7087
-73.8623,40.7304
-73.9664,40.7131
-73.9246,40.7413
-73.919,40.743
-73.9031,40.7462
-73.9583,40.7192
-73.9875,40.6847
-73.8099,40.7057
-73.9454,40.8228
-73.9254,40.7567
-73.9452,40.8002
-73.9913,40.6968
-73.9303,40.6855
-73.9376,40.8045
-73.9734,40.6861
-73.9254,40.7618
-73.9782,40.6755
-73.9643,40.6949
-73.929,40.8557
-73.9504,40.6752
-73.9232,40.7435
-73.9625,40.7162
-73.9986,40.6915
-73.9493,40.7141
-73.9463,40.8068
-73.96,40.8181
-73.9796,40.6849
-73.9411,40.7882
-73.9582,40.8108
-73.9486,40.6917
-73.9559,40.8046
-73.9322,40.6973
-73.9616,40.8114
-73.9585,40.7133
-73.9209,40.7565
-73.9939,40.7027
-73.9228,40.8175
-73.955,40.7223
-73.9735,40.6556
-73.9946,40.7029
-73.9552,40.8045
-73.9455,40.7108
-73.9223,40.7606
-73.9597,40.7181
-73.9449,40.8289
-73.9481,40.7984
-73.9193,40.7585
-73.971,40.7131
-73.9192,40.8258
-73.9931,40.6928
-73.9754,40.6746
-73.9267,40.7552
-73.9492,40.7168
-73.9655,40.7106
-73.9795,40.6828
-73.9519,40.7141
-73.9507,40.686
-73.9733,40.686
-73.9491,40.7244
-73.9576,40.7242
-73.9031,40.8441
-73.8686,40.7491
-73.9253,40.7618
-73.9921,40.6903
-73.9408,40.7206
-74.0008,40.6762
-73.9363,40.8089
-73.9596,40.7182
